session_id,user_id,scenario_id,difficulty_level,user_response,response_time_sec,choice_made,clarity_score,coping_score,avoidance_score,overall_score,feedback_text,source
S0018,U0476,SCN_010,medium,can't do,22,avoid,2,2,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0019,U0375,SCN_001,medium,একটা কাজ করি,7,avoid,2,5,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0020,U0271,SCN_003,hard,I feel nervous,30,avoid,4,3,3,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0021,U0344,SCN_009,hard,সাহায্য চাই,26,engage,5,5,2,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0022,U0033,SCN_009,medium,okay let me try,4,avoid,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0023,U0118,SCN_010,easy,একটা কাজ করি,5,help_seek,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0024,U0277,SCN_002,easy,একটা কাজ করি,39,engage,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0025,U0050,SCN_004,hard,I feel nervous,30,help_seek,2,2,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0026,U0345,SCN_007,hard,পারব না,44,cope,2,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0027,U0128,SCN_001,easy,এড়িয়ে,15,engage,2,3,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0028,U0128,SCN_003,easy,পারব না,31,cope,5,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0029,U0209,SCN_001,medium,deep breath,33,avoid,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0030,U0200,SCN_007,medium,ask for help,32,help_seek,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0031,U0112,SCN_007,easy,I feel nervous,40,cope,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0032,U0030,SCN_006,hard,ask for help,8,avoid,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0033,U0062,SCN_002,hard,break into steps,18,cope,5,5,1,4.7,Try naming your feeling and one small next step.,synthetic_demo
S0034,U0105,SCN_010,hard,break into steps,23,avoid,4,4,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0035,U0235,SCN_005,medium,এড়িয়ে,7,cope,4,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0036,U0260,SCN_008,medium,talk to friend,11,help_seek,3,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0037,U0225,SCN_002,hard,একটা কাজ করি,22,cope,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0038,U0136,SCN_009,easy,run away,9,avoid,3,3,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0039,U0105,SCN_005,hard,run away,43,help_seek,4,3,3,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0040,U0325,SCN_009,medium,I feel nervous,20,cope,2,2,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0041,U0083,SCN_001,hard,can't do,31,engage,4,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0042,U0280,SCN_009,easy,deep breath,26,avoid,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0043,U0461,SCN_007,easy,grounding,25,avoid,4,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0044,U0499,SCN_004,hard,talk to friend,12,avoid,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0045,U0378,SCN_003,medium,গভীর শ্বাস,29,avoid,3,4,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0046,U0447,SCN_005,easy,গভীর শ্বাস,33,avoid,5,5,1,4.7,Try naming your feeling and one small next step.,synthetic_demo
S0047,U0115,SCN_004,easy,okay let me try,45,avoid,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0048,U0180,SCN_007,hard,can't do,35,engage,4,2,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0049,U0092,SCN_009,hard,can't do,19,cope,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0050,U0224,SCN_002,hard,পারব না,35,cope,4,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0051,U0001,SCN_007,hard,সাহায্য চাই,37,avoid,5,4,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0052,U0320,SCN_006,medium,পারব না,45,cope,4,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0053,U0207,SCN_005,hard,run away,21,avoid,4,3,4,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0054,U0316,SCN_004,hard,পারব না,22,engage,3,3,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0055,U0221,SCN_009,hard,deep breath,41,help_seek,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0056,U0407,SCN_008,hard,okay let me try,13,cope,5,4,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0057,U0116,SCN_005,easy,can't do,12,cope,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0058,U0213,SCN_001,hard,একটা কাজ করি,39,avoid,5,4,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0059,U0336,SCN_007,hard,I feel nervous,3,cope,3,2,3,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0060,U0286,SCN_007,easy,একটা কাজ করি,10,engage,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0061,U0314,SCN_003,hard,okay let me try,35,engage,5,5,2,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0062,U0133,SCN_009,easy,okay let me try,43,help_seek,5,3,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0063,U0226,SCN_009,easy,I feel nervous,21,avoid,4,3,3,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0064,U0071,SCN_005,easy,can't do,17,engage,2,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0065,U0170,SCN_003,hard,সাহায্য চাই,32,engage,5,3,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0066,U0439,SCN_001,hard,সাহায্য চাই,27,engage,2,4,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0067,U0276,SCN_001,hard,give up,37,avoid,5,2,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0068,U0015,SCN_008,medium,একটা কাজ করি,24,engage,5,4,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0069,U0304,SCN_003,hard,okay let me try,45,cope,5,3,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0070,U0026,SCN_002,medium,পারব না,27,help_seek,3,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0071,U0143,SCN_004,medium,okay let me try,19,cope,5,4,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0072,U0115,SCN_008,hard,deep breath,7,cope,4,5,1,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0073,U0123,SCN_001,easy,একটা কাজ করি,33,cope,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0074,U0086,SCN_010,hard,সাহায্য চাই,41,cope,4,4,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0075,U0476,SCN_003,medium,run away,39,engage,2,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0076,U0357,SCN_007,medium,সাহায্য চাই,41,cope,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0077,U0036,SCN_010,hard,ask for help,44,help_seek,4,4,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0078,U0492,SCN_001,medium,পারব না,43,engage,5,2,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0079,U0316,SCN_003,hard,পারব না,33,engage,4,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0080,U0143,SCN_007,medium,quit,18,engage,2,2,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0081,U0436,SCN_010,medium,এড়িয়ে,14,engage,5,2,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0082,U0451,SCN_004,hard,give up,20,cope,4,2,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0083,U0251,SCN_009,hard,সাহায্য চাই,18,engage,5,3,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0084,U0114,SCN_008,medium,okay let me try,18,help_seek,4,3,1,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0085,U0218,SCN_010,hard,give up,38,help_seek,4,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0086,U0119,SCN_006,easy,okay let me try,15,help_seek,4,4,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0087,U0142,SCN_002,hard,গভীর শ্বাস,40,help_seek,5,3,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0088,U0092,SCN_002,medium,সাহায্য চাই,3,avoid,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0089,U0327,SCN_005,medium,ask for help,9,cope,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0090,U0175,SCN_010,easy,run away,6,help_seek,5,2,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0091,U0038,SCN_008,hard,talk to friend,43,cope,5,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0092,U0128,SCN_003,easy,grounding,38,engage,2,3,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0093,U0466,SCN_010,medium,একটা কাজ করি,22,engage,5,5,2,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0094,U0321,SCN_005,easy,ask for help,19,cope,3,5,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0095,U0002,SCN_003,medium,একটা কাজ করি,31,engage,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0096,U0360,SCN_005,medium,ask for help,7,avoid,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0097,U0332,SCN_005,easy,সাহায্য চাই,20,avoid,3,4,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0098,U0225,SCN_002,easy,ask for help,32,help_seek,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0099,U0225,SCN_007,easy,quit,41,cope,5,3,5,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0100,U0047,SCN_007,easy,can't do,39,cope,2,3,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0101,U0470,SCN_005,medium,ask for help,14,engage,5,3,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0102,U0171,SCN_008,medium,break into steps,45,cope,5,4,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0103,U0148,SCN_003,hard,can't do,28,cope,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0104,U0060,SCN_008,medium,break into steps,35,cope,4,4,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0105,U0266,SCN_009,medium,okay let me try,42,engage,3,4,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0106,U0475,SCN_008,medium,ask for help,31,engage,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0107,U0160,SCN_002,hard,deep breath,3,engage,3,5,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0108,U0332,SCN_002,easy,একটা কাজ করি,34,help_seek,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0109,U0125,SCN_009,medium,quit,38,avoid,5,2,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0110,U0142,SCN_007,medium,সাহায্য চাই,24,help_seek,2,5,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0111,U0444,SCN_001,easy,run away,31,engage,5,3,4,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0112,U0234,SCN_006,medium,can't do,15,avoid,5,3,5,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0113,U0163,SCN_010,hard,এড়িয়ে,33,engage,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0114,U0258,SCN_007,hard,grounding,24,cope,3,2,3,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0115,U0370,SCN_008,easy,talk to friend,29,avoid,2,3,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0116,U0333,SCN_002,easy,I feel nervous,24,engage,5,2,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0117,U0121,SCN_006,hard,I feel nervous,21,avoid,2,3,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0118,U0228,SCN_002,easy,পারব না,22,cope,2,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0119,U0192,SCN_001,medium,can't do,12,avoid,4,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0120,U0088,SCN_009,easy,পারব না,8,engage,3,3,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0121,U0237,SCN_010,hard,একটা কাজ করি,19,engage,3,4,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0122,U0038,SCN_005,medium,deep breath,25,help_seek,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0123,U0197,SCN_007,medium,quit,9,avoid,3,2,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0124,U0012,SCN_007,hard,give up,28,help_seek,4,3,4,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0125,U0398,SCN_001,easy,ask for help,41,help_seek,4,5,2,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0126,U0322,SCN_004,easy,সাহায্য চাই,43,cope,3,5,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0127,U0047,SCN_005,medium,okay let me try,23,engage,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0128,U0426,SCN_003,easy,সাহায্য চাই,19,engage,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0129,U0073,SCN_005,easy,can't do,28,help_seek,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0130,U0233,SCN_002,medium,এড়িয়ে,19,engage,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0131,U0013,SCN_006,hard,talk to friend,38,help_seek,5,3,3,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0132,U0466,SCN_010,hard,একটা কাজ করি,22,engage,5,5,1,4.7,Try naming your feeling and one small next step.,synthetic_demo
S0133,U0253,SCN_002,easy,grounding,9,avoid,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0134,U0344,SCN_009,hard,grounding,37,engage,4,2,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0135,U0427,SCN_010,medium,grounding,42,engage,2,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0136,U0228,SCN_005,medium,ask for help,18,help_seek,3,5,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0137,U0032,SCN_002,medium,give up,20,avoid,4,3,5,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0138,U0026,SCN_002,medium,okay let me try,18,avoid,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0139,U0417,SCN_010,easy,সাহায্য চাই,24,avoid,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0140,U0277,SCN_010,medium,deep breath,14,cope,3,4,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0141,U0302,SCN_001,medium,grounding,4,avoid,3,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0142,U0382,SCN_005,easy,ask for help,33,engage,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0143,U0485,SCN_006,hard,talk to friend,5,help_seek,3,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0144,U0219,SCN_008,hard,deep breath,9,engage,5,3,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0145,U0034,SCN_008,easy,break into steps,20,help_seek,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0146,U0051,SCN_007,hard,run away,10,avoid,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0147,U0424,SCN_007,medium,okay let me try,28,engage,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0148,U0192,SCN_002,easy,can't do,33,cope,4,2,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0149,U0382,SCN_002,hard,break into steps,26,avoid,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0150,U0211,SCN_009,medium,ask for help,45,engage,2,5,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0151,U0054,SCN_001,hard,run away,35,avoid,4,3,4,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0152,U0433,SCN_003,hard,I feel nervous,26,cope,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0153,U0015,SCN_005,easy,একটা কাজ করি,20,help_seek,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0154,U0290,SCN_006,hard,give up,28,cope,3,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0155,U0215,SCN_003,medium,deep breath,24,avoid,5,3,1,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0156,U0453,SCN_006,easy,run away,12,avoid,2,3,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0157,U0227,SCN_010,hard,ask for help,30,engage,4,5,1,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0158,U0387,SCN_010,hard,okay let me try,10,help_seek,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0159,U0270,SCN_007,hard,talk to friend,22,cope,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0160,U0105,SCN_004,medium,এড়িয়ে,16,avoid,2,3,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0161,U0255,SCN_005,hard,run away,30,avoid,2,2,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0162,U0257,SCN_003,hard,এড়িয়ে,45,help_seek,3,3,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0163,U0010,SCN_002,medium,এড়িয়ে,7,help_seek,5,3,3,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0164,U0149,SCN_010,easy,পারব না,28,cope,5,3,4,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0165,U0046,SCN_006,medium,গভীর শ্বাস,9,avoid,4,5,2,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0166,U0446,SCN_007,medium,এড়িয়ে,24,avoid,5,3,3,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0167,U0464,SCN_006,medium,গভীর শ্বাস,25,avoid,3,3,1,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0168,U0089,SCN_004,hard,talk to friend,12,cope,3,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0169,U0349,SCN_003,hard,I feel nervous,44,help_seek,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0170,U0227,SCN_006,hard,grounding,22,help_seek,5,2,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0171,U0237,SCN_010,medium,ask for help,5,cope,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0172,U0315,SCN_006,hard,run away,35,engage,2,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0173,U0310,SCN_008,medium,ask for help,35,avoid,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0174,U0259,SCN_001,hard,okay let me try,14,cope,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0175,U0191,SCN_004,medium,okay let me try,27,engage,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0176,U0169,SCN_006,easy,ask for help,38,engage,2,5,2,3.3,Try naming your feeling and one small next step.,synthetic_demo
S0177,U0171,SCN_005,easy,quit,40,avoid,3,3,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0178,U0067,SCN_006,hard,run away,8,help_seek,5,3,5,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0179,U0344,SCN_009,hard,এড়িয়ে,36,cope,3,3,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0180,U0093,SCN_007,easy,give up,24,engage,4,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0181,U0152,SCN_004,easy,একটা কাজ করি,35,cope,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0182,U0084,SCN_006,easy,grounding,42,avoid,3,3,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0183,U0497,SCN_008,medium,ask for help,42,help_seek,3,4,2,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0184,U0495,SCN_008,medium,একটা কাজ করি,15,help_seek,4,5,1,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0185,U0258,SCN_010,hard,okay let me try,29,avoid,5,4,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0186,U0448,SCN_004,medium,grounding,38,cope,5,2,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0187,U0140,SCN_009,medium,talk to friend,35,avoid,3,2,3,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0188,U0477,SCN_007,easy,break into steps,29,cope,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0189,U0192,SCN_007,easy,give up,4,help_seek,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0190,U0147,SCN_002,medium,can't do,11,engage,2,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0191,U0111,SCN_008,easy,deep breath,38,engage,4,3,1,3.0,Try naming your feeling and one small next step.,synthetic_demo
S0192,U0025,SCN_002,easy,run away,29,engage,2,1,4,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0193,U0324,SCN_002,hard,talk to friend,39,avoid,2,2,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0194,U0124,SCN_003,hard,run away,29,avoid,4,2,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0195,U0200,SCN_002,medium,give up,5,engage,2,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0196,U0404,SCN_006,easy,quit,25,avoid,4,3,3,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0197,U0280,SCN_002,medium,can't do,44,avoid,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0198,U0033,SCN_008,hard,I feel nervous,32,cope,3,3,3,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0199,U0162,SCN_005,medium,সাহায্য চাই,35,engage,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0200,U0147,SCN_009,medium,I feel nervous,6,help_seek,3,2,3,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0201,U0381,SCN_005,medium,talk to friend,27,help_seek,5,2,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0202,U0474,SCN_003,hard,I feel nervous,20,cope,4,3,4,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0203,U0165,SCN_007,easy,break into steps,8,help_seek,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0204,U0086,SCN_005,hard,run away,31,help_seek,5,2,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0205,U0141,SCN_008,hard,ask for help,6,cope,5,5,2,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0206,U0488,SCN_007,easy,give up,12,engage,3,3,5,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0207,U0186,SCN_001,medium,grounding,39,cope,4,1,3,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0208,U0191,SCN_010,medium,grounding,7,avoid,4,3,4,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0209,U0128,SCN_009,easy,give up,4,avoid,4,2,4,1.3,Try naming your feeling and one small next step.,synthetic_demo
S0210,U0397,SCN_008,medium,এড়িয়ে,31,avoid,4,3,3,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0211,U0063,SCN_010,easy,run away,7,engage,3,3,4,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0212,U0364,SCN_003,easy,okay let me try,38,help_seek,4,3,2,2.7,Try naming your feeling and one small next step.,synthetic_demo
S0213,U0261,SCN_005,easy,গভীর শ্বাস,10,avoid,4,5,1,4.3,Try naming your feeling and one small next step.,synthetic_demo
S0214,U0284,SCN_003,hard,একটা কাজ করি,26,engage,4,4,1,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0215,U0159,SCN_009,medium,grounding,33,engage,2,3,3,1.7,Try naming your feeling and one small next step.,synthetic_demo
S0216,U0231,SCN_007,medium,break into steps,36,help_seek,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0217,U0426,SCN_003,easy,গভীর শ্বাস,36,avoid,2,3,2,2.0,Try naming your feeling and one small next step.,synthetic_demo
S0218,U0178,SCN_005,hard,গভীর শ্বাস,21,cope,3,3,2,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0219,U0321,SCN_005,medium,সাহায্য চাই,42,cope,3,5,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
S0220,U0338,SCN_009,hard,গভীর শ্বাস,41,help_seek,3,5,1,4.0,Try naming your feeling and one small next step.,synthetic_demo
S0221,U0486,SCN_010,hard,ask for help,39,help_seek,2,3,1,2.3,Try naming your feeling and one small next step.,synthetic_demo
S0222,U0255,SCN_004,hard,পারব না,37,help_seek,2,3,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0223,U0153,SCN_005,medium,I feel nervous,7,cope,5,1,5,1.0,Try naming your feeling and one small next step.,synthetic_demo
S0224,U0105,SCN_003,medium,okay let me try,41,avoid,5,4,2,3.7,Try naming your feeling and one small next step.,synthetic_demo
