session_id,user_id,scenario_id,difficulty_level,user_response,response_time_sec,choice_made,clarity_score,coping_score,avoidance_score,overall_score,feedback_text,source
S47,U19,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-411,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S48,U19,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-141,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S49,U20,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-148,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S50,U20,SCN_010,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-263,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S51,U20,SCN_002,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-288,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S52,U21,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-350,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S53,U21,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-157,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S54,U22,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-450,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S55,U22,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-408,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S56,U23,SCN_005,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-206,cope,1,6,0,8.8,"Pilot proxy: practiced a coping-forward path.",app_export
S57,U23,SCN_002,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-253,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S58,U24,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-231,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S59,U24,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-308,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S60,U24,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-456,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S61,U24,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-216,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S62,U25,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-234,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S63,U25,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-415,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S64,U26,SCN_007,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-197,cope,2,7,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S65,U26,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-448,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S66,U26,SCN_010,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-456,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S67,U26,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-125,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S68,U27,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-117,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S69,U27,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-418,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S70,U27,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-92,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S71,U28,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-314,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S72,U28,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-353,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S73,U28,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-127,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S74,U29,SCN_005,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-341,cope,1,6,0,8.8,"Pilot proxy: practiced a coping-forward path.",app_export
S75,U29,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-150,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S76,U29,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-238,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S77,U29,SCN_010,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-425,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S78,U30,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-190,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S79,U30,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-185,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S80,U30,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-304,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S81,U31,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-379,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S82,U31,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-105,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S83,U32,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-336,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S84,U32,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-343,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S85,U33,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-165,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S86,U33,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-417,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S87,U33,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-267,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S88,U33,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-109,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S89,U34,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-201,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S90,U34,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-463,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S91,U34,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-331,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S92,U34,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-246,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S93,U35,SCN_010,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-240,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S94,U35,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-106,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S95,U35,SCN_009,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-269,cope,4,5,0,9.5,"Pilot proxy: practiced a coping-forward path.",app_export
S96,U36,SCN_002,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-410,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S97,U36,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-452,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S98,U36,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-265,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S99,U37,SCN_002,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-104,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S100,U37,SCN_007,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-251,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S101,U37,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-267,avoid,0,0,3,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S102,U38,SCN_002,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-322,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S103,U38,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-198,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S104,U39,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-343,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S105,U39,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-462,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S106,U40,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-218,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S107,U40,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-116,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S108,U41,SCN_004,hard,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-173,cope,5,8,0,10,"Pilot proxy: practiced a coping-forward path.",app_export
S109,U41,SCN_007,easy,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-271,cope,2,7,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S110,U42,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-144,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S111,U42,SCN_009,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-161,avoid,0,0,5,2,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S112,U42,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-400,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S113,U42,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-323,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S114,U43,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-244,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S115,U43,SCN_008,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-117,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S116,U43,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-197,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S117,U43,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-354,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S118,U44,SCN_002,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-221,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S119,U44,SCN_001,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-142,cope,4,7,0,10,"Pilot proxy: practiced a coping-forward path.",app_export
S120,U45,SCN_003,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-356,avoid,0,0,5,1.8,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S121,U45,SCN_010,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-210,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S122,U45,SCN_001,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-270,avoid,0,0,8,1,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S123,U46,SCN_004,hard,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-369,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S124,U46,SCN_006,medium,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-128,avoid,0,0,5,1.3,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
S125,U47,SCN_008,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-341,cope,3,6,0,8.8,"Pilot proxy: practiced a coping-forward path.",app_export
S126,U47,SCN_006,medium,"আমি একটু নার্ভাস ছিলাম কিন্তু একটা ছোট পদক্ষেপ নিয়েছি।",-135,cope,3,5,0,9.3,"Pilot proxy: practiced a coping-forward path.",app_export
S127,U48,SCN_005,easy,"আমি এড়িয়ে গিয়েছিলাম — পরের বার আরেকটা চেষ্টা করব।",-200,avoid,0,0,4,1.7,"Pilot proxy: avoidance-heavy path — practice again with slower pacing.",app_export
